profile,time,depth,vol,tot_TotParticles,tot_nparticles,tot_nnparticles,tot_biovolume,tot_flux,tot_flux_fit,tot_speed,small_TotParticles,small_nparticles,small_nnparticles,small_biovolume,small_flux,small_flux_fit,small_speed,big_TotParticles,big_nparticles,big_nnparticles,big_biovolume,big_flux,big_flux_fit,big_speed,icp,psd,psd_gam,psd_seg,icp_gam,icp_seg,small_icp,small_psd,big_icp,big_psd,tn_flux,tot_flux2
stn_039,2017-01-11T13:51:29Z,187.5,202.39999999999998,1862,9.199604743083004,295.2680228102807,3.2162255684836096,1.935448050894394,20.322204534391137,0.6017762155304678,1852,9.150197628458498,295.007206209672,3.1738212204440015,1.8960669995852018,19.908703495644616,0.5974082558185024,10,0.049407114624505935,0.2608166006086612,0.04240434803960808,0.039381051309192346,0.4135010387465196,0.9287031431873023,-4.129532285527214,-4.077255437006213,-3.8079507625465947,0.02604743778394214,-3.7628331883447297,0.07002987824712426,-4.204323597968324,-4.112521066271951,-3.9931049584900418,-5.251728143351264,31.7586801585891,30.350603966529892
stn_039,2017-01-11T13:51:29Z,225,406.56,3546,8.721959858323494,281.96976285748775,3.0208637056808234,1.8056840293703804,18.95968230838899,0.5977376688576642,3532,8.687524596615505,281.8003051940641,2.9896075126119155,1.7756379455098688,18.64419842785362,0.5939368087681035,14,0.03443526170798898,0.16945766342362928,0.03125619306890802,0.03004608386051182,0.3154838805353741,0.9612841779634401,-4.467028052131262,-4.214891613343923,-3.89698432951106,0.026489311163100198,-4.080824942184853,0.07077996078502981,-4.5299396928877975,-4.244558389207708,-4.02980222060394,-4.001279299622282,29.24619897009901,29.00614215892611
stn_039,2017-01-11T13:51:29Z,275,410.96,3684,8.96437609499708,288.8858291440646,3.1086896610343557,1.858594162712506,19.515238708481313,0.5978706031704996,3673,8.937609499708001,288.77123238699835,3.0828706155222774,1.8331050525048536,19.247603051300963,0.59460979104188,11,0.02676659528907923,0.11459675706623905,0.025819045512078087,0.02548911020765241,0.2676356571803503,0.9872212431605447,-4.374411595057555,-4.18339010369463,-3.9635265659860686,0.026146137577718394,-4.226996428948752,0.06976904272599804,-4.392118431177929,-4.1918531360866,-4.154402599992397,-3.1627943950618564,30.29178051684481,29.641994084515645
stn_039,2017-01-11T13:51:29Z,325,403.03999999999996,4150,10.296744739976182,322.0974947366069,3.638004466857531,2.1989598197688767,23.089078107573204,0.6044412094051975,4129,10.244640730448591,321.8463193243858,3.5895195062340606,2.1514036682508206,22.58973851663362,0.5993570071187502,21,0.05210400952759032,0.2511754122210952,0.048484960623470214,0.04755615151805578,0.4993395909395856,0.9808433565074439,-3.593024742059872,-3.870197103296341,-3.977353372447473,0.02729896272899476,-4.133245552533327,0.07363281586097431,-3.595556243010074,-3.871426118303764,-3.5633835452250957,-3.7289329198321077,36.37986267215989,32.298543119531296
stn_039,2017-01-11T13:51:29Z,375,417.12,3539,8.484369006520906,263.8148954497037,3.0070032381595935,1.8186235105131825,19.09554686038842,0.6047959933778632,3527,8.45560030686613,263.68856758366,2.979752743283608,1.7920181819673706,18.816190910657394,0.6013982824603811,12,0.028768699654775604,0.12632786604373036,0.02725049487598529,0.026605328545811983,0.2793559497310258,0.9763246013289151,-3.672107122188245,-3.8138411685527074,-3.9499428773233674,0.02974729063249261,-3.907020127880875,0.08070854702335878,-3.594329127690358,-3.776747500544023,-4.097264396921257,-3.3161320333622313,29.504705174233543,26.36269328669403
stn_039,2017-01-11T13:51:29Z,425,406.56,4233,10.411747343565525,326.56861440820035,3.6599346950303944,2.2002852428329303,23.10299504974577,0.6011815581902501,4221,10.382231404958677,326.4233234961581,3.6335775712904574,2.1752789998981474,22.840429498930547,0.5986603993500548,12,0.029515938606847696,0.14529091204227662,0.026357123739936858,0.025006242934783082,0.26256555081522237,0.9487470325486657,-3.6808337035294656,-3.9187274191838375,-3.893769507952855,0.031539046112510925,-3.6536040146684075,0.08503493319248047,-3.608444293672804,-3.884248850222777,-4.228826118677843,-4.207260820725997,36.401677595308435,32.78849607405003
stn_039,2017-01-11T13:51:29Z,475,603.6800000000001,5423,8.983236151603498,277.99826513526125,3.186825594932664,1.9259582401539077,20.22256152161603,0.6043500602029658,5407,8.956732043466737,277.8575744761272,3.16387896312563,1.9044464650575688,19.99668788310447,0.6019340459143689,16,0.026504108136761195,0.14069065913406137,0.022946631807033865,0.02151177509633896,0.2258736385115591,0.9374698333611178,-3.5554498194009487,-3.784474721500391,-3.819224395743651,0.03268428235562769,-3.4505792946558973,0.08738274395788703,-3.440543050756416,-3.7294169705092814,-4.581903927279824,-5.137300749007001,31.580733338468782,27.659381513792503
stn_039,2017-01-11T13:51:29Z,525,271.04,2509,9.256936245572609,297.7561304055565,3.1975520248791507,1.9038485101957179,19.99040935705504,0.5954081420356788,2501,9.227420306965762,297.61850648546505,3.1698633882855494,1.8767238152128953,19.7056000597354,0.5920519547146602,8,0.029515938606847696,0.13762392009145258,0.02768863659360165,0.027124694982822672,0.28480929731963806,0.9796327417974313,-4.414037051936038,-4.218047992210595,-3.7328486730234807,0.03557825276616224,-3.332509455805309,0.09564192085321094,-4.445586802825599,-4.232980274888555,-4.102729931853348,-3.55159502417703,31.162721377614886,30.374384058068443
stn_040,2017-01-12T05:00:27Z,10,791.12,83851,105.99024168267772,3043.5294989165814,44.26145606432457,35.059648051858396,368.1263045445132,0.7921033596569144,81797,103.39392254019617,3035.996494752451,38.24151929546645,23.699389608626326,248.84359089057642,0.6197292901863315,2054,2.596319142481545,7.533004164130695,6.019936768858112,11.36025844323207,119.28271365393672,1.8871059413780078,0.48843670522932287,-2.9814067683560745,-3.025382292372628,0.03652395720158965,-0.08169395963117765,0.09782850298275195,0.18759242143337515,-3.13690329701669,-0.14432543777225884,-1.317569233631658,136.6290083835621,293.60703949199177
stn_040,2017-01-12T05:00:27Z,30,296.56,7120,24.00863231723766,681.5371044435119,9.127318754353254,5.766643815119608,60.549760058755886,0.6318004191942153,7045,23.75573239816563,680.2928965704459,8.897496478423903,5.54529697119785,58.225618197577425,0.6232423901088343,75,0.2528999190720259,1.2442078730659243,0.2298222759293505,0.22134684392175805,2.3241418611784592,0.9631217993411662,-1.2346738055089503,-3.1068773860265164,-3.128471790966833,0.030551134963417617,-0.5908026055985225,0.08145084941674634,-0.9634514326923087,-2.972415276972915,-2.0366855547928933,-4.005114524076718,71.28360634852766,64.44100970190345
stn_040,2017-01-12T05:00:27Z,50,235.84,10162,43.08853459972863,1258.896867944536,16.09886580259326,10.070026990094199,105.7352833959891,0.6255115803544424,10085,42.7620420624152,1257.2695668467206,15.805593197947744,9.789757820093651,102.79245711098335,0.6193856628781759,77,0.3264925373134328,1.6273010978155995,0.2932726046455163,0.28026917000054813,2.9428262850057547,0.9556609296641068,-0.9406782862787899,-3.2576898174944504,-3.2307987550936503,0.025563162731574694,-1.094899502176876,0.06783674459371228,-0.7088745343385904,-3.1438407364009824,-1.8203279279587485,-4.185123290666375,91.46593411525092,121.83527468108969
