project,profile,time,depth,vol,tot_TotParticles,tot_nparticles,tot_nnparticles,tot_biovolume,tot_flux,tot_flux_fit,tot_speed,small_TotParticles,small_nparticles,small_nnparticles,small_biovolume,small_flux,small_flux_fit,small_speed,big_TotParticles,big_nparticles,big_nnparticles,big_biovolume,big_flux,big_flux_fit,big_speed,icp,psd,psd_gam,psd_seg,icp_gam,icp_seg,small_icp,small_psd,big_icp,big_psd,smooth_TotParticles,smooth_nparticles,smooth_nnparticles,smooth_flux_fit
ETNP,stn_032,2017-01-08T06:53:16Z,675,411.84000000000003,2938,7.133838383838383,209.00772640444063,0.46463636220326865,0.21003103875291373,27.93412815413753,0.45203315073526157,2903,7.048853923853923,208.39048584631527,0.4311383486911321,0.18528990384615385,24.64355721153846,0.42976901592879574,35,0.08498445998445997,0.6172405581253788,0.03349801351213656,0.0247411349067599,3.290570942599067,0.7385851372289887,-4.227299856811563,-4.234175192639523,-3.954599798472905,0.08001822879805391,-3.8718239533253445,0.15645058678254373,-2.6637575843239696,-3.2377806893781456,-6.84369176738611,-9.317427600200096,2967.5258043037156,7.205530799105758,207.98648465208385,33.079053074106085
ETNP,stn_032,2017-01-08T06:53:16Z,725,416.24,2753,6.613972708053047,190.76767175295848,0.4643271918726281,0.22579344849125504,30.030528649336922,0.48628090803950497,2710,6.5106669229290794,190.1035840605097,0.40883270923641357,0.1779056890255622,23.661456640399773,0.43515522365576087,43,0.10330578512396693,0.6640876924487777,0.0554944826362145,0.04788775946569287,6.3690720089371515,0.8629282982889248,-3.375915703530528,-3.6344982550614167,-3.820533502833518,0.079929732758995,-3.6645293390833977,0.1554551951759194,-2.4831124511832883,-3.101172563892458,-3.8403332040083287,-4.469791699796,2798.304872607427,6.722815857696107,192.52998087483962,32.77037057032768
ETNP,stn_032,2017-01-08T06:53:16Z,775,402.15999999999997,2690,6.688880047742193,195.3275742904242,0.4602833504913439,0.22101615526158747,29.395148649791132,0.480174125407006,2643,6.572011139844839,194.55289039205266,0.4030764061473187,0.17408380495325246,23.15314605878258,0.43188785624338255,47,0.1168689078973543,0.774683898371511,0.057206944344025165,0.046932350308334994,6.242002591008554,0.8203960348956608,-3.390994190745989,-3.6409752253827476,-3.6726200286430877,0.07997274116087542,-3.4196447543614283,0.15383025174028264,-2.6207334069793298,-3.172361813978918,-4.024287318469559,-5.08095428265964,2510.9397800274924,6.2436338274007674,177.57858549233453,32.38546334973782
ETNP,stn_032,2017-01-08T06:53:16Z,825,405.68,2126,5.240583711299546,145.44717528006512,0.40792559585270455,0.20492977962926445,27.25566069069217,0.5023704854825078,2072,5.107473871031354,144.54265299486724,0.34598114546386416,0.15524211693945966,20.647201552948136,0.44870108956753496,54,0.13310984026819167,0.9045222851978869,0.06194445038884038,0.049687662689804776,6.608459137744035,0.8021325942502231,-3.435771880260894,-3.626544859594391,-3.534056875318919,0.08133306790654225,-3.231338721529754,0.15842956341383832,-2.1419739487789253,-2.799328767613114,-4.20207332783532,-5.654825279457761,2345.6502182269055,5.782020849504303,163.47967897104826,31.978155845011475
ETNP,stn_032,2017-01-08T06:53:16Z,875,414.47999999999996,2122,5.11966801775719,137.42121301940298,0.44844844440266485,0.2506507189731712,33.336545623431775,0.5589287288241996,2057,4.962845010615712,136.43001756583777,0.3543543673997377,0.16175548156726502,21.51347904844625,0.4564794354144166,65,0.15682300714147848,0.9911954535652042,0.0940940770029272,0.0888952374059062,11.823066574985525,0.9447484925447617,-2.9617289222520133,-3.3226133231647834,-3.4238832071503067,0.08122626683699041,-3.1519828401022902,0.15263879790784313,-1.8313685586205508,-2.6240777064363026,-3.2700297140290893,-4.142836737365987,2216.1286328309425,5.346768560198183,150.4228204334476,31.590210207413552
ETNP,stn_032,2017-01-08T06:53:16Z,925,421.52,1785,4.234674511292465,115.05300876105748,0.4855655663768184,0.6222169647940786,82.75485631761246,1.2814272837279677,1737,4.120800910988803,114.37749511423168,0.29219137736535583,0.13342725374833936,17.745824748529134,0.4566433648776091,48,0.11387360030366295,0.6755136468258054,0.19337418901146258,0.48878971104573926,65.00903156908332,2.5276884859579964,-3.0098426310745703,-3.1938416012634123,-3.3471701738864095,0.08431235072488204,-3.1598801721019147,0.16455349388975948,-2.027148670815695,-2.6258206876982646,-3.2219768922195904,-3.087211247552769,2083.434881073048,4.942671477208788,138.48421757526097,31.251467515810432
ETNP,stn_032,2017-01-08T06:53:16Z,975,631.84,2617,4.141871359837934,115.72983060057135,0.3249861097922234,0.17176388642694354,22.84459689478349,0.5285268546916022,2562,4.054824006077488,115.20370386113643,0.2684740419446645,0.11874749461889086,15.793416784312484,0.44230531100420517,55,0.08704735376044567,0.5261267394349148,0.056512067847558876,0.05301639180805267,7.051180110471005,0.9381428397039765,-3.456791904816322,-3.4334384262242787,-3.295823001527445,0.08978777525024362,-3.192397743295524,0.16821304814709662,-2.632902531925501,-2.9425568127574246,-3.622834383208479,-3.698693668066924,2888.551966984513,4.571650998646038,127.66382067817726,30.981066540310128
ETNP,stn_032,2017-01-08T06:53:16Z,1050,264,1200,4.545454545454546,128.10984259107906,0.4303851531838294,0.3505795113636363,46.62707501136364,0.8145715733225911,1179,4.465909090909091,127.69001449486295,0.29322735823786994,0.12982488636363637,17.266709886363635,0.442744794154987,21,0.07954545454545454,0.41982809621611206,0.13715779494595945,0.22075462499999995,29.360365125,1.6094938321732126,-3.142741935110656,-3.2549201077558183,-3.2406557314191025,0.14051959867099753,-3.212154102345198,0.2550238161158329,-2.516755222031861,-2.9252944715287357,-3.4408251703204367,-2.331645071480408,1076.241687664758,4.076673059336205,113.41567469827874,30.72458158010363
ETNP,stn_035,2017-01-10T14:19:24Z,10,911.6800000000001,187772,205.96261846261845,6164.238929258184,201.80539977054477,905.9677183353807,120493.70653860563,4.489313563291553,180656,198.15724815724815,6127.326114531143,11.342411274978518,4.810649941865567,639.8164422681205,0.4241293870623359,7116,7.805370305370305,36.912814727041045,190.46298849556624,901.1570683935151,119853.89009633752,4.731402544460721,2.3718015470090115,-1.9100985286203398,-1.9998671252853777,0.17286964469452712,0.6403592249083032,0.6409837876018586,0.49140370749908235,-3.2980782240306947,0.7875015766950271,-1.3121594285871083,159144.69523705472,174.56201215015653,4904.0264613879135,75050.00641019041
ETNP,stn_035,2017-01-10T14:19:24Z,30,306.24,10449,34.12029780564263,985.9478868653656,2.4589975642385378,1.218423935475444,162.05038341823405,0.4954961945449286,10235,33.421499477533956,981.2936017593922,2.107488130951496,0.920700881661442,122.45321726097178,0.4368712061243073,214,0.6987983281086729,4.654285105973308,0.35150943328704176,0.2977230538140021,39.59716615726227,0.8469845347532456,-1.9377904560241674,-3.822115307727693,-3.6140289178395886,0.147374187180227,-0.2561670564226426,0.46593681142324594,-0.7843592459099893,-3.06662883346127,-2.2234408253567186,-5.049514114752274,16207.289503975677,52.9234897595862,1513.260041113713,565.7118619856083
