project,profile,time,depth,psd_gam,lb,ub,binsize,vol,TotalParticles,nparticles,n_nparticles,biovolume,speed,flux,flux_fit,GamPredictTP
P16,p16n_100,2015-05-08T00:44:43Z,1850,-2.9517988381776683,26,32,6,880.78,0,0,0,0,2.332883602176152,0,0,0.1629885173240473
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,0.102,0.161,0.05900000000000001,859.16,2860,3.3288328134456915,56.420895143147305,1.0156967740927905,0.5523775820552363,0.5610481281746792,5.896615827115878,7808.686388909679
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,0.161,0.203,0.04200000000000001,859.16,1082,1.2593696168350483,29.984990877024952,0.4871948254655726,0.6219775764356186,0.303024256795051,3.184784938915987,3308.187754979725
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,0.203,0.256,0.05299999999999999,859.16,863,1.0044694818194515,18.952254373951916,0.43836380312498713,0.6606158202652875,0.2895900633760244,3.0435915660820165,2138.7791921695048
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,0.256,0.323,0.067,859.16,305,0.3549979049303971,5.298476192991002,0.17478758102192163,0.7016853204163885,0.12264587979417255,1.2890081966367535,1382.3020470788329
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,0.323,0.406,0.08300000000000002,859.16,192,0.22347409097257787,2.692458927380456,0.12416880199501555,0.7454056079929094,0.09255612134484575,0.9727648353343291,892.5418148281345
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,0.406,0.512,0.10599999999999998,859.16,112,0.13035988640067042,1.2298102490629288,0.0815788372137894,0.7910733767020475,0.06453484622213904,0.6782612337946813,580.414526052622
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,0.512,0.645,0.133,859.16,27,0.03142604404301876,0.23628604543623127,0.022187588083764448,0.8402532285423349,0.018643192520950515,0.1959399533951899,375.1243655512639
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,0.645,0.813,0.16799999999999993,859.16,12,0.013967130685786117,0.08313768265348882,0.011119320498408731,0.8922478821966482,0.00992119016617097,0.10427170864645689,242.92200817315234
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,0.813,1.02,0.20700000000000007,859.16,4,0.004655710228595372,0.022491353761330293,0.004180546184964887,0.9475967048637348,0.003961471789403385,0.04163506850662958,157.14654338223804
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,1.02,1.29,0.27,859.16,3,0.003491782671446529,0.012932528412764922,0.0035279246002614933,1.0051619603428203,0.0035461356071405034,0.037269885231046684,102.55243254302692
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,1.29,1.63,0.33999999999999986,859.16,0,0,0,0,1.0684478381718248,0,0,65.92333736824436
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,1.63,2.05,0.41999999999999993,859.16,0,0,0,0,1.1354519935389218,0,0,42.44918292365519
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,2.05,2.58,0.5300000000000002,859.16,0,0,0,0,1.2051913442184854,0,0,27.57542909350369
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,2.58,3.25,0.6699999999999999,859.16,0,0,0,0,1.2794435332068914,0,0,17.890048095887888
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,3.25,4.1,0.8499999999999996,859.16,0,0,0,0,1.3585939423880398,0,0,11.586498371608856
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,4.1,5.16,1.0600000000000005,859.16,0,0,0,0,1.4431909696926972,0,0,7.483324911052892
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,5.16,6.5,1.3399999999999999,859.16,0,0,0,0,1.5321063847776535,0,0,4.854939595751617
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,6.5,8.19,1.6899999999999995,859.16,0,0,0,0,1.6268873142339533,0,0,3.1443039962181656
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,8.19,10.3,2.110000000000001,859.16,0,0,0,0,1.727642242652265,0,0,2.035467144594736
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,10.3,13,2.6999999999999993,859.16,0,0,0,0,1.8337396618714592,0,0,1.3223346463552144
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,13,16.4,3.3999999999999986,859.16,0,0,0,0,1.9481629136098422,0,0,0.8532903819206853
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,16.4,20.6,4.200000000000003,859.16,0,0,0,0,2.069471264879894,0,0,0.5511112129472673
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,20.6,26,5.399999999999999,859.16,0,0,0,0,2.1958641949061874,0,0,0.3588506190153718
P16,p16n_100,2015-05-08T00:44:43Z,1950,-2.8816320148316663,26,32,6,859.16,0,0,0,0,2.332883602176152,0,0,0.23156300305380215
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,0.102,0.161,0.05900000000000001,1756.86,5591,3.182382204615052,53.938681434153416,0.9710116188779108,0.5523775820552363,0.536365050183321,5.637196677426703,13805.77145444909
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,0.161,0.203,0.04200000000000001,1756.86,2131,1.212959484534909,28.879987727021636,0.4692407824240832,0.6219775764356186,0.29185724461688467,3.067419640923458,5981.18745650157
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,0.203,0.256,0.05299999999999999,1756.86,1538,0.8754254749951619,16.517461792361548,0.38204728716721287,0.6606158202652875,0.2523864819920962,2.652581925736931,3911.0810598083726
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,0.256,0.323,0.067,1756.86,574,0.32671926049884453,4.876406873117082,0.16086424292295676,0.7016853204163885,0.11287607783893468,1.1863275780872033,2556.648573875113
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,0.323,0.406,0.08300000000000002,1756.86,324,0.18441993101328508,2.221926879678133,0.10246915782614346,0.7454056079929094,0.07638108488991786,0.8027652021930368,1669.7236117202046
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,0.406,0.512,0.10599999999999998,1756.86,251,0.1428685268035017,1.347816290599073,0.0894067079442993,0.7910733767020475,0.07072726635331061,0.7433435693732946,1098.0494447798765
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,0.512,0.645,0.133,1756.86,50,0.028459865897111896,0.21398395411362325,0.02009339071058073,0.8402532285423349,0.016883536416928017,0.17744596774191349,717.7878709520737
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,0.645,0.813,0.16799999999999993,1756.86,19,0.01081474904090252,0.06437350619584836,0.008609689663606476,0.8922478821966482,0.00768197736872325,0.08073758214528136,470.1134364498634
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,0.813,1.02,0.20700000000000007,1756.86,4,0.0022767892717689515,0.010998981989221984,0.002044419054605622,0.9475967048637348,0.0019372847595049195,0.020360862822396703,307.5865978994672
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,1.02,1.29,0.27,1756.86,3,0.0017075919538267136,0.006324414643802643,0.001725266497934192,1.0051619603428203,0.0017341722551773248,0.018226150401913683,202.97206131603735
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,1.29,1.63,0.33999999999999986,1756.86,2,0.0011383946358844758,0.003348219517307283,0.001299569439675382,1.0684478381718248,0.0013885221583753316,0.014593367884524732,131.98596244451772
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,1.63,2.05,0.41999999999999993,1756.86,0,0,0,0,1.1354519935389218,0,0,85.9680275028194
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,2.05,2.58,0.5300000000000002,1756.86,1,5.691973179422379e-4,0.0010739572036645992,8.267512358293546e-4,1.2051913442184854,9.963934332434738e-4,0.01047209498338891,56.47671256611723
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,2.58,3.25,0.6699999999999999,1756.86,0,0,0,0,1.2794435332068914,0,0,37.05551241835961
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,3.25,4.1,0.8499999999999996,1756.86,0,0,0,0,1.3585939423880398,0,0,24.272091514160028
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,4.1,5.16,1.0600000000000005,1756.86,0,0,0,0,1.4431909696926972,0,0,15.856031089075964
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,5.16,6.5,1.3399999999999999,1756.86,0,0,0,0,1.5321063847776535,0,0,10.403462422486127
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,6.5,8.19,1.6899999999999995,1756.86,0,0,0,0,1.6268873142339533,0,0,6.814473083837241
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,8.19,10.3,2.110000000000001,1756.86,0,0,0,0,1.727642242652265,0,0,4.461601409742462
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,10.3,13,2.6999999999999993,1756.86,0,0,0,0,1.8337396618714592,0,0,2.9312098963207567
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,13,16.4,3.3999999999999986,1756.86,0,0,0,0,1.9481629136098422,0,0,1.9131867306635466
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,16.4,20.6,4.200000000000003,1756.86,0,0,0,0,2.069471264879894,0,0,1.2498118780951109
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,20.6,26,5.399999999999999,1756.86,0,0,0,0,2.1958641949061874,0,0,0.8229472491030355
P16,p16n_100,2015-05-08T00:44:43Z,2100,-2.8326244173586854,26,32,6,1756.86,0,0,0,0,2.332883602176152,0,0,0.5371337477388565
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,0.102,0.161,0.05900000000000001,1702.34,4958,2.912461670406617,49.36375712553587,0.8886531974067139,0.5523775820552363,0.49087210446917523,5.159065817971031,9813.711710089523
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,0.161,0.203,0.04200000000000001,1702.34,1844,1.083214868945099,25.790830212978545,0.419048285715903,0.6219775764356186,0.260638637159078,2.73931207654191,4208.116422579373
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,0.203,0.256,0.05299999999999999,1702.34,1481,0.8699789701234771,16.41469754949957,0.37967036020974493,0.6606158202652875,0.2508162464403778,2.6360787500883713,2737.3219044446346
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,0.256,0.323,0.067,1702.34,535,0.3142732944065228,4.690646185171982,0.15473631857032066,0.7016853204163885,0.10857620327606783,1.1411358964314726,1780.0292961175232
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,0.323,0.406,0.08300000000000002,1702.34,355,0.2085364850734871,2.5124877719697234,0.11586902719297205,0.7454056079929094,0.0863694226623243,0.9077426321810284,1156.4392645667922
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,0.406,0.512,0.10599999999999998,1702.34,280,0.16447948118472222,1.5516932187237948,0.102930780250419,0.7910733767020475,0.08142579989927538,0.8557851569413844,756.5876403476163
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,0.512,0.645,0.133,1702.34,61,0.03583302982952877,0.2694212769137501,0.025299032374628362,0.8402532285423349,0.021257593631778534,0.22341730906999238,491.9948080320582
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,0.645,0.813,0.16799999999999993,1702.34,11,0.0064616939036855154,0.0384624637124138,0.005144195117384566,0.8922478821966482,0.004589897199092717,0.04823981956246445,320.55634223342327
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,0.813,1.02,0.20700000000000007,1702.34,5,0.002937133592584325,0.014189051171904948,0.002637368313816888,0.9475967048637348,0.0024991615236849077,0.02626618761392838,208.64163854748412
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,1.02,1.29,0.27,1702.34,3,0.0017622801555505952,0.006526963539076278,0.001780520753527888,1.0051619603428203,0.0017897117310471675,0.018809870293305726,136.97689155959299
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,1.29,1.63,0.33999999999999986,1702.34,1,5.874267185168651e-4,0.0017277256426966627,6.705950532173632e-4,1.0684478381718248,7.164958348988115e-4,0.007530371224786507,88.60082044974338
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,1.63,2.05,0.41999999999999993,1702.34,1,5.874267185168651e-4,0.0013986350440877743,7.573406191662724e-4,1.1354519935389218,8.599239158203454e-4,0.00903780035527183,57.40566520234795
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,2.05,2.58,0.5300000000000002,1702.34,0,0,0,0,1.2051913442184854,0,0,37.518099379554656
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,2.58,3.25,0.6699999999999999,1702.34,0,0,0,0,1.2794435332068914,0,0,24.48900349209551
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,3.25,4.1,0.8499999999999996,1702.34,0,0,0,0,1.3585939423880398,0,0,15.957446061107275
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,4.1,5.16,1.0600000000000005,1702.34,0,0,0,0,1.4431909696926972,0,0,10.369891182258932
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,5.16,6.5,1.3399999999999999,1702.34,0,0,0,0,1.5321063847776535,0,0,6.76868779534652
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,6.5,8.19,1.6899999999999995,1702.34,0,0,0,0,1.6268873142339533,0,0,4.410590673221174
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,8.19,10.3,2.110000000000001,1702.34,0,0,0,0,1.727642242652265,0,0,2.8727029852907617
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,10.3,13,2.6999999999999993,1702.34,0,0,0,0,1.8337396618714592,0,0,1.8775901393170882
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,13,16.4,3.3999999999999986,1702.34,0,0,0,0,1.9481629136098422,0,0,1.219074155864998
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,16.4,20.6,4.200000000000003,1702.34,0,0,0,0,2.069471264879894,0,0,0.7922111277089284
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,20.6,26,5.399999999999999,1702.34,0,0,0,0,2.1958641949061874,0,0,0.5189603351872056
P16,p16n_100,2015-05-08T00:44:43Z,2300,-2.855185989429578,26,32,6,1702.34,0,0,0,0,2.332883602176152,0,0,0.3369484741626654
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,0.102,0.161,0.05900000000000001,1715.5,4877,2.8429029437481783,48.184795656748776,0.8674293696459416,0.5523775820552363,0.4791485378087231,5.035851132369679,7890.642408370902
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,0.161,0.203,0.04200000000000001,1715.5,1744,1.016613232293792,24.205076959375994,0.393283035935143,0.6219775764356186,0.24461322954418255,2.570885042509359,3322.5017798686677
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,0.203,0.256,0.05299999999999999,1715.5,1374,0.8009326726901778,15.111937220569395,0.3495376403189075,0.6606158202652875,0.2309100949728681,2.426865098164844,2141.363896644825
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,0.256,0.323,0.067,1715.5,516,0.3007869425823375,4.489357351975187,0.14809614751741795,0.7016853204163885,0.10391689272319216,1.0921665425207496,1379.6722873767483
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,0.323,0.406,0.08300000000000002,1715.5,324,0.18886621976100262,2.275496623626537,0.10493964711071897,0.7454056079929094,0.07822260145712684,0.8221195413144031,888.0697809194992
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,0.406,0.512,0.10599999999999998,1715.5,252,0.14689594870300204,1.3858108368207742,0.0919270568384427,0.7910733767020475,0.07272104726346791,0.7642982067390477,575.7372289321864
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,0.512,0.645,0.133,1715.5,68,0.03963858933255611,0.29803450625982036,0.027985854380154804,0.8402532285423349,0.02351520449644072,0.24714479925759197,370.9452189856221
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,0.645,0.813,0.16799999999999993,1715.5,17,0.009909647333139027,0.058985996030589474,0.007889132507044516,0.8922478821966482,0.007039061771779203,0.07398053922139942,239.47265189764605
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,0.813,1.02,0.20700000000000007,1715.5,6,0.0034975225881667153,0.01689624438727881,0.0031405637367599238,0.9475967048637348,0.002975987848368242,0.03127763228635022,154.43481643945117
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,1.02,1.29,0.27,1715.5,1,5.829204313611193e-4,0.0021589645605967376,5.889539880619188e-4,1.0051619603428203,5.919941451920402e-4,0.006221858465968341,100.47656702158231
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,1.29,1.63,0.33999999999999986,1715.5,0,0,0,0,1.0684478381718248,0,0,64.38575023358624
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,1.63,2.05,0.41999999999999993,1715.5,0,0,0,0,1.1354519935389218,0,0,41.32919228670839
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,2.05,2.58,0.5300000000000002,1715.5,0,0,0,0,1.2051913442184854,0,0,26.765423818636975
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,2.58,3.25,0.6699999999999999,1715.5,0,0,0,0,1.2794435332068914,0,0,17.31105744347628
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,3.25,4.1,0.8499999999999996,1715.5,0,0,0,0,1.3585939423880398,0,0,11.17684430753587
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,4.1,5.16,1.0600000000000005,1715.5,0,0,0,0,1.4431909696926972,0,0,7.196278486193943
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,5.16,6.5,1.3399999999999999,1715.5,0,0,0,0,1.5321063847776535,0,0,4.654332810041782
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,6.5,8.19,1.6899999999999995,1715.5,0,0,0,0,1.6268873142339533,0,0,3.0050592428076732
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,8.19,10.3,2.110000000000001,1715.5,0,0,0,0,1.727642242652265,0,0,1.9393048349673
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,10.3,13,2.6999999999999993,1715.5,0,0,0,0,1.8337396618714592,0,0,1.255994671910678
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,13,16.4,3.3999999999999986,1715.5,0,0,0,0,1.9481629136098422,0,0,0.8079544462022396
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,16.4,20.6,4.200000000000003,1715.5,0,0,0,0,2.069471264879894,0,0,0.5202063336526676
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,20.6,26,5.399999999999999,1715.5,0,0,0,0,2.1958641949061874,0,0,0.33769267012134724
P16,p16n_100,2015-05-08T00:44:43Z,2500,-2.895047574152007,26,32,6,1715.5,0,0,0,0,2.332883602176152,0,0,0.21723045517334214
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,0.102,0.161,0.05900000000000001,1726.78,4486,2.5978989796036553,44.0321860949772,0.7926735167787163,0.5523775820552363,0.43785508055744815,4.60185689665878,7944.870551162513
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,0.161,0.203,0.04200000000000001,1726.78,1792,1.0377697216784998,24.708802897107134,0.40146755302644027,0.6219775764356186,0.2497038156489235,2.6243871024701866,3382.2621517212956
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,0.203,0.256,0.05299999999999999,1726.78,1288,0.7458969874564217,14.073528065215507,0.32551933740047656,0.6606158202652875,0.2150432240890287,2.2601042851756916,2192.0667023707215
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,0.256,0.323,0.067,1726.78,470,0.2721829069134458,4.062431446469341,0.13401259904405274,0.7016853204163885,0.09403467350005916,0.9883044184856216,1420.2416660343574
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,0.323,0.406,0.08300000000000002,1726.78,283,0.16388885671596845,1.9745645387466073,0.0910614868604686,0.7454056079929094,0.06787774297796594,0.7133950786984219,919.3093531026889
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,0.406,0.512,0.10599999999999998,1726.78,284,0.1644679692838694,1.5515846158855606,0.1029235761363957,0.7910733767020475,0.08142010091646883,0.8557252606320874,599.2772020610481
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,0.512,0.645,0.133,1726.78,64,0.03706320434566071,0.27867070936587,0.02616756693779885,0.8402532285423349,0.021987382602583143,0.23108739115314883,388.2721501818836
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,0.645,0.813,0.16799999999999993,1726.78,10,0.005791125679009486,0.03447098618458029,0.004610351540349111,0.8922478821966482,0.0041135763980585495,0.043233687943595354,252.05451572950145
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,0.813,1.02,0.20700000000000007,1726.78,3,0.0017373377037028458,0.00839293576668041,0.0015600241751733428,0.9475967048637348,0.0014782737679020254,0.015536657300650288,163.4563020882398
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,1.02,1.29,0.27,1726.78,2,0.0011582251358018972,0.004289722725192212,0.0011702134221154073,1.0051619603428203,0.0011762540173930031,0.012362429722800461,106.9277733560317
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,1.29,1.63,0.33999999999999986,1726.78,0,0,0,0,1.0684478381718248,0,0,68.90781415997371
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,1.63,2.05,0.41999999999999993,1726.78,3,0.0017373377037028458,0.004136518342149634,0.0022398647707840814,1.1354519935389218,0.002543258919244385,0.02672965124125849,44.481475986961236
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,2.05,2.58,0.5300000000000002,1726.78,0,0,0,0,1.2051913442184854,0,0,28.966171092998827
P16,p16n_100,2015-05-08T00:44:43Z,2700,-2.8709963022231144,2.58,3.25,0.6699999999999999,1726.78,0,0,0,0,1.2794435332068914,0,0,18.838332804960388
