project,profile,time,depth,vol,tot_TotParticles,tot_nparticles,tot_nnparticles,tot_biovolume,tot_flux,tot_flux_fit,tot_speed,small_TotParticles,small_nparticles,small_nnparticles,small_biovolume,small_flux,small_flux_fit,small_speed,big_TotParticles,big_nparticles,big_nnparticles,big_biovolume,big_flux,big_flux_fit,big_speed,icp,psd,psd_gam,psd_seg,icp_gam,icp_seg,small_icp,small_psd,big_icp,big_psd
ETNP,stn_032,2017-01-08T00:53:16Z,107.5,42.24,323,7.646780303030303,232.99521282905977,2.8429237029754972,1.79494562898473,18.864878560629514,0.631373127286561,315,7.457386363636363,232.07204103325904,2.671662605805201,1.6311456410967493,17.143340687926834,0.6105357905419891,8,0.1893939393939394,0.9231717958007387,0.171261097170296,0.1637999878879808,1.7215378727026782,0.9564343017439849,-2.4136753684243386,-3.087138285343843,-3.5656665004609485,0.016256433448525336,-2.5056755272121283,0.02938988070928726,-2.5397487153633964,-3.1434542260821456,-2.325837378975553,-4.005056210403692
ETNP,stn_032,2017-01-08T00:53:16Z,112.5,42.24,292,6.912878787878788,219.69220173155992,2.437976585909506,1.4743219001485734,15.495123170561506,0.6047317716952422,292,6.912878787878788,219.69220173155992,2.437976585909506,1.4743219001485734,15.495123170561506,0.6047317716952422,0,0,0,0,0,0,NaN,-3.7041419750815,-3.709409879582419,-3.573973217201179,0.015974811054174073,-2.5319438575334408,0.028880327346481247,-3.221640860813316,-3.4555087285979016,-41.44184151040678,-0.9900177617710122
ETNP,stn_032,2017-01-08T00:53:16Z,117.5,40.48,263,6.49703557312253,201.0704696662154,2.3488690576997513,1.4466461523949923,15.204251061671368,0.6158905059661749,259,6.3982213438735185,200.5376979850505,2.2651711427613614,1.3695113366385738,14.39356414807141,0.6045950836937947,4,0.09881422924901187,0.5327716811648759,0.08369791493838993,0.07713481575641835,0.8106869135999568,0.9215858700087968,-3.3246147636784595,-3.4916837449613687,-3.5822602467670714,0.01569978215690132,-2.5581594494517335,0.02838271381430359,-3.526587291704618,-3.5928611500218457,-3.876358318601257,-7.728688238586068
ETNP,stn_032,2017-01-08T00:53:16Z,122.5,41.36,318,7.688588007736944,231.07689677569599,2.852772564804488,1.7906933089450607,18.82018667701259,0.6277027937794207,315,7.6160541586073505,230.8129805774597,2.775462571786588,1.710172676435861,17.9739148293409,0.6161757300639831,3,0.07253384912959382,0.2639161982362722,0.07730999301789995,0.08052063250919982,0.8462718476716902,1.0415294241529227,-2.7264320785793394,-3.2770831245061336,-3.5905260094168017,0.015431652641689803,-2.58431806141728,0.02789759440738533,-2.5242237370899017,-3.172330035455885,-3.1069533066411763,-2.6421207379483613
ETNP,stn_032,2017-01-08T00:53:16Z,127.5,43.12,292,6.771799628942487,202.62987710046005,2.480519144103269,1.5308565154630487,16.08930197751664,0.6171516632323625,292,6.771799628942487,202.62987710046005,2.480519144103269,1.5308565154630487,16.08930197751664,0.6171516632323625,0,0,0,0,0,0,NaN,-3.256432081422514,-3.521470917129201,-3.5987688835659455,0.015170733495057003,-2.6104153380772486,0.027425532672251927,-2.5401992282101595,-3.1239753080196935,-41.46246079760968,-0.9900177617709095
ETNP,stn_032,2017-01-08T00:53:16Z,132.5,41.36,274,6.624758220502901,199.46595884313538,2.4268094364906245,1.5025349740200833,15.791642576951073,0.6191400739700759,272,6.576402321083172,199.25093085902105,2.379960136051107,1.4558704753536036,15.301198695966372,0.6117205298107314,2,0.04835589941972921,0.21502798411434215,0.04684930043951765,0.04666449866647962,0.4904438809847007,0.9960553995192178,-3.1765105374642966,-3.4481517372245456,-3.6069872079482943,0.014917339547723871,-2.6364468159541916,0.026967099125613906,-2.978681183107442,-3.3430940057908134,-3.56696812059507,-3.2085818464855005
ETNP,stn_032,2017-01-08T00:53:16Z,137.5,41.36,330,7.978723404255319,247.20899272720533,2.858542587807016,1.7474164568099912,18.36534696107301,0.6112962823305544,326,7.88201160541586,246.74192501915704,2.7714454920637412,1.664542686195078,17.494343631910272,0.6006045188193782,4,0.09671179883945842,0.46706770804828157,0.0870970957432747,0.08287377061491309,0.8710033291627367,0.9515101497665297,-3.4263666714478633,-3.653365037691934,-3.6151792837656944,0.01467178801332365,-2.6624079290956413,0.026522868602111904,-3.7660348310200784,-3.8319018590813405,-3.019761666147544,-4.5556548596416135
ETNP,stn_032,2017-01-08T00:53:16Z,142.5,42.24,361,8.546401515151516,258.652396701701,3.1767055874978953,2.020783384019761,21.238433366047687,0.6361254854628859,356,8.428030303030303,258.1508424370329,3.038262106853149,1.8578220048732785,19.525709271218158,0.6114752248276235,5,0.11837121212121213,0.5015542646680436,0.1384434806447464,0.16296137914648243,1.7127240948295304,1.1770968079360147,-2.594719044956362,-3.250851186417079,-3.623343376826293,0.014434396810828384,-2.6882940146921808,0.02609341720915283,-2.640481095819712,-3.2817674672544705,-2.67131153750031,-2.4820414137872047
ETNP,stn_032,2017-01-08T00:53:16Z,147.5,42.24,306,7.244318181818182,225.21161822114323,2.5865377740033555,1.576234304437208,16.566222539635056,0.6093992982741427,304,7.196969696969696,224.9830177321261,2.5437712766121474,1.5353751637804631,16.136792971332667,0.6035822394477662,2,0.04734848484848485,0.22860048901715574,0.04276649739120798,0.04085914065674477,0.4294295683023875,0.955400679250966,-3.553145519027977,-3.667401071027923,-3.6314777196693404,0.01420548266170847,-2.7141003186608232,0.025679318872478984,-3.4829669991333416,-3.629676365525781,-3.7152537539908312,-4.020023051557079
ETNP,stn_032,2017-01-08T00:53:16Z,152.5,40.48,294,7.262845849802372,228.84519976376703,2.577896672558661,1.566253592271339,16.461325254771772,0.6075703533597304,293,7.238142292490119,228.7258589071861,2.555714372285227,1.545233717625935,16.240406372248575,0.6046190976514496,1,0.024703557312252968,0.11934085658093217,0.022182300273434,0.02101987464540398,0.22091888252319586,0.9475967048637348,-3.5313125020860396,-3.6481231823856324,-3.6395805136781707,0.01398535895727746,-2.7398220011966226,0.02528114146424346,-3.204289145969148,-3.4733387214172824,-14.707950470516506,-55.45374085296221
