depth,lb,binsize,link,n_nparticles,nparticles,profile,project,time,flux
30,26,6,-6.647406491339681,0.0012973825187499036,0.007784295112499421,multiple,ETNP,togetawatch,703.7076286799811
50,0.102,0.02600000000000001,6.202282693747939,493.87512100748177,12.84075314619453,multiple,ETNP,togetawatch,17.643362360472345
50,0.128,0.033,5.527984773792918,251.6362956577473,8.30399775670566,multiple,ETNP,togetawatch,17.977132748431764
50,0.161,0.04200000000000001,4.841626543327082,126.67522699738348,5.320359533890107,multiple,ETNP,togetawatch,18.23186175112615
50,0.203,0.05299999999999999,4.13340299299081,62.389874400828106,3.306663343243889,multiple,ETNP,togetawatch,18.023857536550366
50,0.256,0.067,3.3993118300401908,29.943486747412088,2.00621361207661,multiple,ETNP,togetawatch,17.400044666229295
50,0.323,0.08300000000000002,2.6276937296853995,13.841810106582757,1.1488702388463692,multiple,ETNP,togetawatch,15.870746254746498
50,0.406,0.10599999999999998,1.8248947895321996,6.202142454468152,0.657427100173624,multiple,ETNP,togetawatch,14.356393567986004
50,0.512,0.133,0.9610153640621468,2.6143496429019932,0.34770850250596513,multiple,ETNP,togetawatch,12.081712283435502
50,0.645,0.16799999999999993,0.051481663208568396,1.0528298805931982,0.17687541993965722,multiple,ETNP,togetawatch,9.758581968899637
50,0.813,0.20700000000000007,-0.9024259824055529,0.4055845243431662,0.08395599653903543,multiple,ETNP,togetawatch,7.3630831085567925
50,1.02,0.27,-1.8622390414654122,0.1553244628198181,0.04193760496135089,multiple,ETNP,togetawatch,5.792331137398022
50,1.29,0.33999999999999986,-2.855953274782216,0.05750098075116945,0.019550333455397605,multiple,ETNP,togetawatch,4.321289753283432
50,1.63,0.41999999999999993,-3.8112283615247535,0.022120989688707446,0.009290815669257126,multiple,ETNP,togetawatch,3.2804872189784424
50,2.05,0.5300000000000002,-4.676362655107347,0.009312826317291929,0.004935797948164724,multiple,ETNP,togetawatch,2.7580320143869366
50,2.58,0.6699999999999999,-5.438745880268721,0.0043449289163643495,0.002911102373964114,multiple,ETNP,togetawatch,2.5778443145231456
50,3.25,0.8499999999999996,-6.072430100721563,0.002305563645579947,0.0019597290987429542,multiple,ETNP,togetawatch,2.7551740773092073
50,4.1,1.0600000000000005,-6.566000131846737,0.0014074156455688163,0.0014918605843029459,multiple,ETNP,togetawatch,3.3397207731346583
50,5.16,1.3399999999999999,-6.919401513056021,9.884213208025423e-4,0.0013244845698754065,multiple,ETNP,togetawatch,4.698790673648219
50,6.5,1.6899999999999995,-7.163890711519448,7.740371318805005e-4,0.0013081227528780456,multiple,ETNP,togetawatch,7.367862123400649
50,8.19,2.110000000000001,-7.336365644743504,6.514136928185579e-4,0.001374482891847158,multiple,ETNP,togetawatch,12.297027561901988
50,10.3,2.6999999999999993,-7.480296205400377,5.640903042298417e-4,0.0015230438214205722,multiple,ETNP,togetawatch,21.562779109554974
50,13,3.3999999999999986,-7.642331069877995,4.797089127064885e-4,0.0016310103032020603,multiple,ETNP,togetawatch,36.80354757038218
50,16.4,4.200000000000003,-7.85492710428243,3.878363427794932e-4,0.0016289126396738724,multiple,ETNP,togetawatch,58.52746145863577
50,20.6,5.399999999999999,-8.133730698286644,2.934713030931907e-4,0.0015847450367032292,multiple,ETNP,togetawatch,89.88593146321678
