lat,long,press,pdens,13CW,NEPIW,AAIW,biogeo,chi-squared parameter
13.998,-114,160.38,26.383,0.68667,0.33897,0,0,0.061273
13.998,-114,150.11,26.349,0.71674,0.31475,0,0,0.083021
13.998,-114,146.85,26.332,0.73576,0.29815,0,0,0.090757
13.998,-114,128.77,26.198,0.72174,0.34829,0,0,0.28962
13.998,-114,125.01,26.152,0.74327,0.33651,0,0,0.36364
13.998,-114,115.9,26.054,0.79599,0.30099,0,0,0.50895
14.001,-115,400.71,26.785,0.073205,0.71525,0.21154,0,0.2106
14.001,-115,324.57,26.686,0.162,0.82396,0.014032,0,0.050344
14.001,-115,290.12,26.632,0.26225,0.74219,0,0,0.008843
14.001,-115,255.47,26.576,0.41061,0.5931,0,0,0.0044113
14.001,-115,220.16,26.521,0.55399,0.44816,0,0,0.043103
14.001,-115,199.28,26.484,0.63008,0.37429,0,0,0.0033345
14.001,-115,179.39,26.433,0.68492,0.3275,0,0,0.023929
14.001,-115,171.56,26.406,0.7239,0.29162,0,0,0.052818
14.001,-115,165.28,26.386,0.72019,0.30112,0,0,0.040919
14.001,-115,158.72,26.359,0.76953,0.25022,0,0,0.24406
14.001,-115,150.78,26.33,0.76133,0.26986,0,0,0.095294
14.001,-115,144.8,26.305,0.80206,0.23131,0,0,0.10271
14.001,-115,138.96,26.263,0.88731,0.14736,0,0,0.087771
14.001,-114.99,126.65,26.187,0.93972,0.10722,0,0,0.13206
14.002,-115.99,500.86,26.889,0,0.55493,0.44802,0,0.34025
14.002,-115.99,331.31,26.682,0.21749,0.75269,0.029818,0.14077,0.0050566
14.002,-115.99,300.27,26.643,0.27483,0.72524,0,0,0.012122
14.002,-115.99,279.9,26.603,0.35646,0.64537,0,0,0.017091
14.002,-115.99,260.52,26.567,0.3769,0.62482,0,0,0.22874
14.002,-115.99,240.88,26.521,0.52185,0.48346,0,0,0.032163
14.003,-115.99,230.33,26.503,0.56586,0.44162,0,0,0.010447
14.003,-115.99,215.61,26.47,0.64052,0.36747,0,0,0.019103
14.003,-115.99,200.85,26.438,0.71779,0.29025,0,0.029847,0.01109
14.003,-115.99,175.87,26.383,0.8058,0.20653,0,0,0.022501
14.003,-115.99,151.78,26.259,0.81467,0.22876,0,0,0.11496
14.003,-115.99,141.81,26.186,0.86014,0.19691,0,0,0.18947
14.003,-115.99,128.83,26.117,0.89103,0.17942,0,0,0.26373
15.002,-117,401.76,26.843,0,0.49341,0.53206,0,0.71186
15.002,-117,350.96,26.775,0,0.73385,0.28939,0,0.40644
15.002,-117,323.34,26.722,0,0.9203,0.10098,0,0.17528
15.002,-117,290.97,26.657,0.045781,0.96954,0,0,0.12435
15.002,-117,272.62,26.634,0.15222,0.86373,0,0,0.027821
15.002,-117,246,26.597,0.25525,0.76038,0,0,0.024645
15.002,-117,219.85,26.527,0.38931,0.63159,0,0,0.050092
15.002,-117,200.01,26.475,0.45291,0.57252,0,0,0.080875
15.002,-117,185.03,26.414,0.54171,0.49265,0,0,0.083661
15.002,-117,171.9,26.359,0.49643,0.53446,0,0,0.8902
15.002,-117,165.81,26.317,0.67723,0.36759,0,0,0.12472
15.002,-117,158.31,26.276,0.43442,0.56937,0,0,3.8397
15.002,-117,150.41,26.213,0.42106,0.58346,0,0,4.7833
15.002,-117,142.61,26.092,0.70025,0.3947,0,0,0.5017
15.998,-118,450.52,26.947,0,0.42945,0.61472,2.4112,0.12741
15.998,-118,375.23,26.832,0,0.69203,0.34904,1.3931,0.10842
15.998,-118,324.55,26.737,0,0.93529,0.091053,0.31631,0.051912
15.998,-118,275.82,26.637,0.13381,0.88359,0,0,0.027812
15.997,-118,225.85,26.533,0.49282,0.51451,0,0,0.014097
15.997,-118,200.05,26.461,0.6585,0.35014,0,0.0017991,0.012738
15.997,-118,179.84,26.415,0.76417,0.24409,0,0,0.0071959
15.997,-118,161.53,26.366,0.83691,0.17597,0,0,0.016368
15.997,-118,138.54,26.274,0.90349,0.12587,0,0,0.053571
15.997,-118,129.77,26.228,0.90505,0.13614,0,0,0.10095
15.997,-118,120.38,26.177,0.88171,0.17541,0,0,0.18374
15.997,-118,110.67,26.06,0.85228,0.23777,0,0,0.46239
17.002,-119,451.37,26.928,0,0.42145,0.63852,1.9242,0.20538
17.002,-119,400.92,26.858,0,0.58388,0.47331,1.5143,0.19134
17.002,-119,390.29,26.835,0,0.63834,0.41794,1.2981,0.1867
17.002,-119,380,26.815,0,0.68475,0.36961,1.203,0.17341
17.002,-119,366.4,26.795,0,0.73354,0.31919,1.0052,0.16791
17.002,-119,351.21,26.766,0,0.80243,0.24733,0.77132,0.15305
17.002,-119,300.14,26.667,0,1.0239,0,0,0.045766
17.002,-119,200.8,26.428,0.55628,0.47132,0,0,0.05294
